@relation 'horse-colic.ORIG-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,23-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.MergeManyValues-C6-LNormal-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C6-LAbove Normal-R1-7-weka.filters.unsupervised.attribute.MergeManyValues-C6-LFast-R1-11-weka.filters.unsupervised.attribute.MergeManyValues-C6-LExtreme-R1-19-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R22-precision6-weka.filters.unsupervised.attribute.MergeManyValues-C22-L0-1.5 gms/dl-R1-7-weka.filters.unsupervised.attribute.MergeManyValues-C22-L1.6-3 gms/dl-R1-11-weka.filters.unsupervised.attribute.MergeManyValues-C22-L>3 gms/dl-R1-26-weka.filters.unsupervised.attribute.MergeManyValues-C20-L<5.5 gms/dl-R1-9-weka.filters.unsupervised.attribute.MergeManyValues-C20-L5.5-6.4 gms/dl-R1-9-weka.filters.unsupervised.attribute.MergeManyValues-C20-L6.5-7.5 gms/dl-R1-11-weka.filters.unsupervised.attribute.MergeManyValues-C20-L7.6-10 gms/dl-R1-16-weka.filters.unsupervised.attribute.MergeManyValues-C20-L>10 gms/dl-R1-39-weka.filters.unsupervised.attribute.MergeManyValues-C19-L>31-R1-8-weka.filters.unsupervised.attribute.MergeManyValues-C19-L31-50-R1-22-weka.filters.unsupervised.attribute.MergeManyValues-C19-L>50\%-R1-24-weka.filters.unsupervised.attribute.RenameNominalValues-R19-N1:<31\%-weka.filters.unsupervised.attribute.RenameNominalValues-R19-N>31:<31\%-weka.filters.unsupervised.attribute.RenameNominalValues-R19-N31-50:31\%-50\%-weka.filters.unsupervised.attribute.MergeManyValues-C16-LSubnormal pH-R1-3-weka.filters.unsupervised.attribute.MergeManyValues-C16-LNormal pH-R1-5-weka.filters.unsupervised.attribute.MergeManyValues-C16-LAbove normal pH-R1-16-weka.filters.unsupervised.attribute.Remove-R25-27-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:Yes,2:Treated without surgery-weka.filters.unsupervised.attribute.RenameNominalValues-R6-N1:Normal,2:Warm,3:Cool,4:Cold-weka.filters.unsupervised.attribute.RenameNominalValues-R7-N1:Normal,2:Increased,3:Reduced,4:Absent-weka.filters.unsupervised.attribute.RenameNominalValues-R8-N1:Normal pink,2:Bright pink,3:Pale pink,4:Pale cyanotic,5:Bright red,6:Dark cyanotic-weka.filters.unsupervised.attribute.RenameNominalValues-R9-N1:<3sec,2:>=3sec-weka.filters.unsupervised.attribute.RenameNominalValues-R9-N3:>=3sec-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N1:Alert. No pain,2:Depressed,3:Intermittent mild pain,4:Intermittent severe pain,5:Continous severe pain-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N1:Hypermotile,2:Normal,3:Hypomotile,4:Absent-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N1:None,2:Slight,3:Moderate,4:Severe-weka.filters.unsupervised.attribute.RenameNominalValues-R13-N1:None,2:Slight,3:Significant-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N1:None,2:>1liter,3:<1liter-weka.filters.unsupervised.attribute.RenameNominalValues-R16-N1:Normal,2:Invreased,3:Decreased,4:Absent-weka.filters.unsupervised.attribute.RenameNominalValues-R17-N1:Normal,2:Other,3:Firm feces in the lg intestine,4:Distended small intestine,5:Distended lg intestine-weka.filters.unsupervised.attribute.RenameNominalValues-R20-N1:Clear,2:Cloudy,3:Serosanguinous-weka.filters.unsupervised.attribute.RenameNominalValues-R22-N1:Yes,2:No-weka.filters.unsupervised.attribute.RenameNominalValues-R24-N1:Lived,2:Died,3:Euthanized'

@attribute surgery {'Treated without surgery',Yes}
@attribute 'Hospital Number' {530101,534817,530334,5290410,530255,528355,526802,529607,530051,5299630,528548,527927,528031,5291330,534917,530233,5301220,526639,5290480,532110,530157,529340,521681,534998,533692,529518,530526,528653,5279440,535415,529475,530242,529427,529663,529796,528812,529493,533847,528996,5277410,529498,5288250,530301,534069,535407,529827,529888,529821,528890,529642,529766,527706,529483,530544,529461,5282840,528872,529640,528298,528904,530438,527957,528630,534293,529667,534885,534784,528931,529777,530276,528214,529424,5299250,528469,5292930,534092,534615,534753,530693,527463,527518,534756,5290760,5279820,529849,529304,529388,528006,529703,535381,534197,530251,530310,528729,535158,530319,534145,534135,530002,535364,534899,534938,5292490,527563,530381,528668,529764,533696,5297380,527544,533736,534963,527933,532349,533723,535208,533983,535166,528682,534556,534579,530360,529840,528461,530384,5262540,535330,527698,528964,530670,534572,530294,527524,5287180,534324,534491,529960,522979,530402,534519,535246,534115,530001,529272,535314,533793,529399,533836,528804,535163,528247,533928,528248,528134,527916,530431,535176,533942,528523,534925,528299,530254,535085,532985,527677,535292,529729,518476,527929,535130,523190,533968,528151,530239,528305,534857,534053,534833,5278330,527365,533887,5299600,528742,5287280,534788,529373,534163,533697,529628,521399,533885,534157,528047,528641,534073,529685,529528,535137,530297,535338,534478,530401,529893,5294370,528183,529183,529135,528977,535240,529736,535029,535031,528800,528178,535392,528503,5289420,535196,534597,534280,530028,528179,533750,528702,534183,529160,529045,530354,5281090,5291410,530366,530170,527709,528169,535043,527940,5291720,530561,533738,5294540,533871,529812,534719,527734,534933,529296,5305630,528743,530478,528590,529865,527829,534403,527883,528570,534626,528638,534624,5297160,534787,528620,528019,529172,534644,530624,527758,530439,5283430,5275210,5305130,529428,529126,535054,530034,534004,533902,533886,527702,529386,530612,534618,528626,527950,535263,534523,528926,534922,527642,534790,528959,534921,528999,528067,529478,529991,530033,5299050,534497,528369,530107,530505,529567,529597,534429,529629,528382,534898,529615,526090,529765,528310,529925,527807,5281440,530695,533889,533815,527664,528268,528919,527494,529980,533954,534686,534475,5274920,534156,514279,528433,527465,534268,535337,534111,530576,529930,529695,528452,534783}
@attribute 'rectal temperature' {'\'(-inf-36.075]\'','\'(36.075-36.75]\'','\'(36.75-37.425]\'','\'(37.425-38.1]\'','\'(38.1-38.775]\'','\'(38.775-39.45]\'','\'(39.45-40.125]\'','\'(40.125-inf)\''}
@attribute pulse {'\'(-inf-43]\'','\'(43-48.5]\'','\'(48.5-58]\'','\'(58-64.5]\'','\'(64.5-77]\'','\'(77-89]\'','\'(89-109]\'','\'(109-inf)\''}
@attribute 'respiratory rate' {Normal,'Above Normal',Fast,Extreme}
@attribute 'temperature of extremities' {Cool,Normal,Cold,Warm}
@attribute 'peripheral pulse' {Reduced,Normal,Absent,Increased}
@attribute 'mucous membranes' {'Pale cyanotic','Pale pink','Dark cyanotic','Normal pink','Bright red','Bright pink'}
@attribute 'capillary refill time' {>=3sec,<3sec}
@attribute pain {'Continous severe pain','Intermittent mild pain',Depressed,'Intermittent severe pain','Alert. No pain'}
@attribute peristalsis {Absent,Hypomotile,Hypermotile,Normal}
@attribute 'abdominal distension' {Severe,Slight,None,Moderate}
@attribute 'nasogastric tube' {None,Slight,Significant}
@attribute 'nasogastric reflux' {>1liter,None,<1liter}
@attribute 'nasogastric reflux PH' {'Subnormal pH ','Normal pH ','Above normal pH '}
@attribute 'rectal examination - feces' {Decreased,Absent,Normal,Invreased}
@attribute abdomen {'Distended lg intestine',Other,Normal,'Firm feces in the lg intestine','Distended small intestine'}
@attribute 'packed cell volume' {'<31\%','31\%-50\%','>50\%'}
@attribute 'total protein' {'<5.5 gms/dl','5.5-6.4 gms/dl','6.5-7.5 gms/dl','7.6-10 gms/dl','>10 gms/dl'}
@attribute 'abdominocentesis appearance' {Cloudy,Serosanguinous,Clear}
@attribute 'abdomcentesis total protein' {'0-1.5 gms/dl','1.6-3 gms/dl','>3 gms/dl'}
@attribute 'surgical lesion' {No,Yes}
@attribute 'site of lesion' {11300,2208,0,4300,3124,3205,2124,2111,4124,2112,3207,1400,4205,3111,4122,2207,2209,1124,7111,5205,2113,9400,2305,7209,7400,3112,3209,2322,11124,3025,2205,5206,400,5000,5400,31110,2206,5124,7113,6209,3400,6112,6111,1111,2300,21110,4111,3133,5111,300,3115,9000,3300,3113,41110,11400,12208,4206,4207,8300,8400,5110,8405}
@attribute outcome {Died,Euthanized,Lived}

@data
'Treated without surgery',530101,'\'(38.1-38.775]\'','\'(64.5-77]\'',Fast,Cool,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,>1liter,?,Decreased,'Distended lg intestine','31\%-50\%','7.6-10 gms/dl',Cloudy,?,No,11300,Died
Yes,5290410,'\'(38.775-39.45]\'','\'(109-inf)\'',Extreme,Cold,Normal,'Dark cyanotic',>=3sec,Depressed,Absent,Severe,None,>1liter,'Above normal pH ',Decreased,'Distended lg intestine','31\%-50\%','6.5-7.5 gms/dl',Serosanguinous,'>3 gms/dl',Yes,2208,Died
'Treated without surgery',530255,'\'(36.75-37.425]\'','\'(89-109]\'',Fast,Cool,Reduced,'Dark cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,>1liter,?,Decreased,'Distended lg intestine','>50\%','6.5-7.5 gms/dl',Cloudy,?,No,4300,Died
Yes,529607,?,'\'(58-64.5]\'',?,Cool,Reduced,'Pale cyanotic',<3sec,'Continous severe pain',Absent,Slight,Slight,None,?,Decreased,'Distended small intestine','31\%-50\%','7.6-10 gms/dl',Cloudy,?,Yes,2208,Died
'Treated without surgery',5291330,'\'(37.425-38.1]\'','\'(89-109]\'',Fast,Normal,Normal,'Bright pink',<3sec,'Alert. No pain',Hypomotile,Slight,Significant,>1liter,'Above normal pH ',Normal,Normal,'31\%-50\%','5.5-6.4 gms/dl',Clear,?,No,0,Died
Yes,530233,'\'(37.425-38.1]\'','\'(89-109]\'',Extreme,Cool,Normal,'Pale cyanotic',<3sec,'Continous severe pain',Hypomotile,Moderate,Slight,<1liter,'Above normal pH ',Absent,'Distended lg intestine','31\%-50\%','6.5-7.5 gms/dl',Cloudy,?,Yes,3207,Died
Yes,5301220,?,'\'(109-inf)\'',Extreme,Cool,Reduced,'Pale cyanotic',>=3sec,'Intermittent severe pain',Absent,Moderate,Significant,>1liter,?,Absent,'Distended lg intestine','>50\%','7.6-10 gms/dl',Serosanguinous,'>3 gms/dl',No,1400,Died
Yes,5279440,?,?,?,Cool,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,>1liter,?,Decreased,'Distended lg intestine','<31\%',?,Cloudy,?,No,4300,Died
'Treated without surgery',529475,'\'(37.425-38.1]\'','\'(89-109]\'',Fast,Cool,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Severe,Significant,>1liter,'Normal pH ',Absent,'Distended lg intestine','>50\%','6.5-7.5 gms/dl',Cloudy,?,Yes,4205,Died
Yes,5277410,'\'(38.775-39.45]\'','\'(109-inf)\'',Extreme,Cool,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,>1liter,?,Decreased,'Distended lg intestine','<31\%',?,Cloudy,?,Yes,2113,Died
Yes,529498,?,'\'(77-89]\'',?,Cool,Reduced,'Dark cyanotic',>=3sec,'Continous severe pain',Hypomotile,Moderate,None,<1liter,?,Absent,'Distended lg intestine','>50\%','6.5-7.5 gms/dl',Serosanguinous,?,Yes,4205,Died
'Treated without surgery',529827,?,'\'(109-inf)\'',?,Cold,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,None,?,Absent,'Distended lg intestine','>50\%','6.5-7.5 gms/dl',Serosanguinous,?,Yes,3205,Died
Yes,528890,'\'(38.775-39.45]\'','\'(77-89]\'',Extreme,Cool,Reduced,'Pale pink',>=3sec,Depressed,Hypomotile,Moderate,Slight,>1liter,'Above normal pH ',Decreased,Normal,'>50\%','6.5-7.5 gms/dl',Serosanguinous,?,Yes,7111,Died
'Treated without surgery',529642,'\'(36.75-37.425]\'','\'(77-89]\'',Extreme,Cool,Reduced,'Bright red',>=3sec,'Intermittent severe pain',Hypermotile,Slight,None,>1liter,?,Invreased,Normal,'>50\%','5.5-6.4 gms/dl',Cloudy,'>3 gms/dl',No,4300,Died
Yes,527706,'\'(36.75-37.425]\'','\'(77-89]\'',Extreme,Normal,Reduced,'Pale pink',>=3sec,'Intermittent mild pain',Hypomotile,Slight,None,>1liter,?,Absent,'Distended lg intestine','<31\%',?,Serosanguinous,?,Yes,7209,Died
Yes,5282840,'\'(38.1-38.775]\'','\'(109-inf)\'','Above Normal',Cool,Reduced,'Bright red',<3sec,'Intermittent mild pain',Hypomotile,Severe,Significant,>1liter,?,Absent,'Distended lg intestine','31\%-50\%',?,Cloudy,?,Yes,7111,Died
Yes,529640,?,'\'(58-64.5]\'',Extreme,Warm,Reduced,'Bright pink',<3sec,'Continous severe pain',Hypomotile,Moderate,Slight,>1liter,?,Decreased,'Distended lg intestine','31\%-50\%','7.6-10 gms/dl',Cloudy,?,Yes,3209,Died
Yes,528298,?,?,'Above Normal',Cold,Reduced,'Pale pink',>=3sec,'Continous severe pain',Absent,Moderate,Slight,>1liter,?,Absent,'Distended small intestine','>50\%','5.5-6.4 gms/dl',Serosanguinous,?,Yes,3205,Died
'Treated without surgery',528904,?,'\'(89-109]\'',?,Cool,Reduced,'Pale pink',>=3sec,'Continous severe pain',Absent,Severe,None,>1liter,?,Absent,'Distended lg intestine','>50\%',?,Cloudy,?,Yes,4205,Died
Yes,528630,'\'(37.425-38.1]\'','\'(77-89]\'',Fast,Warm,Normal,'Bright pink',<3sec,'Intermittent mild pain',Absent,Severe,Slight,>1liter,?,Absent,'Distended lg intestine','>50\%','7.6-10 gms/dl',Clear,'>3 gms/dl',Yes,3205,Died
Yes,5299250,'\'(37.425-38.1]\'','\'(48.5-58]\'',?,Cool,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,>1liter,?,Decreased,'Distended lg intestine','<31\%',?,Cloudy,?,Yes,2113,Died
Yes,528469,'\'(38.1-38.775]\'','\'(48.5-58]\'',Fast,Normal,Normal,'Bright red',<3sec,'Intermittent severe pain',Hypomotile,None,Slight,<1liter,'Above normal pH ',Normal,'Distended lg intestine','>50\%','6.5-7.5 gms/dl',Cloudy,'1.6-3 gms/dl',Yes,2112,Died
Yes,5292930,?,?,?,Cool,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,>1liter,?,Decreased,'Distended lg intestine','31\%-50\%','<5.5 gms/dl',Cloudy,?,Yes,11124,Died
Yes,530693,?,?,?,Cool,Reduced,'Pale pink',>=3sec,'Continous severe pain',Hypomotile,Moderate,Significant,>1liter,?,Absent,'Distended lg intestine','31\%-50\%','5.5-6.4 gms/dl',Cloudy,?,Yes,3025,Died
Yes,527518,'\'(36.075-36.75]\'','\'(89-109]\'',Fast,Cool,Reduced,'Pale cyanotic',<3sec,'Intermittent severe pain',Hypomotile,Slight,None,>1liter,?,Absent,'Distended small intestine','31\%-50\%','5.5-6.4 gms/dl',Serosanguinous,'>3 gms/dl',Yes,2205,Died
Yes,5279820,'\'(37.425-38.1]\'',?,Fast,Cool,Reduced,'Dark cyanotic',>=3sec,'Continous severe pain',Absent,Severe,None,None,?,Decreased,'Distended lg intestine','>50\%','7.6-10 gms/dl',Cloudy,?,Yes,3205,Died
Yes,529388,?,'\'(77-89]\'',Extreme,Cool,Reduced,'Pale cyanotic',>=3sec,'Continous severe pain',Absent,Moderate,Significant,>1liter,?,Absent,'Distended lg intestine','31\%-50\%','7.6-10 gms/dl',Serosanguinous,'0-1.5 gms/dl',Yes,4205,Died
'Treated without surgery',529461,'\'(40.125-inf)\'','\'(109-inf)\'',Extreme,Cool,Reduced,'Normal pink',>=3sec,Depressed,Hypomotile,Moderate,Slight,None,'Above normal pH ',Normal,'Distended lg intestine','>50\%','7.6-10 gms/dl',Serosanguinous,'>3 gms/dl',Yes,3205,Died
'Treated without surgery',530310,?,?,?,Cool,Reduced,'Normal pink',<3sec,'Continous severe pain',Hypomotile,Moderate,None,None,?,Absent,'Distended lg intestine','31\%-50\%','6.5-7.5 gms/dl',Cloudy,?,Yes,3205,Died
Yes,527563,'\'(37.425-38.1]\'','\'(48.5-58]\'',Fast,Normal,Reduced,'Pale pink',<3sec,'Intermittent severe pain',Absent,None,Slight,<1liter,'Above normal pH ',Invreased,'Distended lg intestine','31\%-50\%','6.5-7.5 gms/dl',Clear,'>3 gms/dl',Yes,5400,Died
Yes,5297380,'\'(38.1-38.775]\'','\'(77-89]\'',Extreme,Cool,Reduced,'Bright pink',<3sec,'Intermittent mild pain',Hypomotile,Moderate,None,None,?,Decreased,'Distended lg intestine','31\%-50\%','6.5-7.5 gms/dl',Cloudy,'1.6-3 gms/dl',Yes,2205,Died
